what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389588686737
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1389588704919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389588712052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588713676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588745821
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389588746843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588748356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588755906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1389588755945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1389588755945
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389588757969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588760370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588818088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588827576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588852084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588854431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588856240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588863411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588899351
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389588901610
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389588904795
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389588904823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588916837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588923793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588928173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588932979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389588960866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589006335
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389589259310
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389589259310
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1389589262448
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389589262448
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1389589265378
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1389589266530
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1389589267705
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389589268712
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389589269568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589270383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589283411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589284279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589286368
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389589292685
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1389589296334
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1389589296369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389589362402
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389589368620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589370044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589384093
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1389589384126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589424320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589436814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389589437884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389589462698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389589469449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589496444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589521475
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389589524610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389589525762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589526912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589577991
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1389589578039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589586930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589862621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389589876427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389595609090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389595609999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389595610090
